pmcid,figure url,subfigure,label,insert_time
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f1.jpg,57x714_659x1446,cxr,4202020
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f1.jpg,59x47_656x704,cxr,4202020
PMC7121428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121428/bin/NEJMc2001272_f1.jpg,0x23_350x352,cxr,4202020
PMC7121428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121428/bin/NEJMc2001272_f1.jpg,373x9_745x369,cxr,4202020
PMC7121428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121428/bin/NEJMc2001272_f1.jpg,379x370_735x752,cxr,4202020
PMC7121428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121428/bin/NEJMc2001272_f1.jpg,5x379_365x751,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f1.jpg,468x0_742x349,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f1.jpg,0x9_229x336,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f3.jpg,464x0_741x337,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f4.jpg,380x0_720x591,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f4.jpg,24x19_359x569,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f5.jpg,468x0_741x346,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f5.jpg,0x0_231x346,cxr,4202020
PMC7094943,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7094943/bin/41586_2020_2008_Fig4_ESM.jpg,315x0_693x292,cxr,4202020
PMC7075276,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7075276/bin/330_2020_6713_Fig1_HTML.jpg,,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig1_HTML.jpg,1x0_396x362,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig1_HTML.jpg,395x0_778x392,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig2_HTML.jpg,,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig3_HTML.jpg,242x11_471x235,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig3_HTML.jpg,479x19_700x235,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig3_HTML.jpg,6x0_229x214,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig4_HTML.jpg,232x7_448x225,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig4_HTML.jpg,454x0_691x223,cxr,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig5_HTML.jpg,,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig6_HTML.jpg,240x0_471x219,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig6_HTML.jpg,463x0_695x220,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig6_HTML.jpg,5x0_229x219,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig7_HTML.jpg,393x23_775x392,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig7_HTML.jpg,2x0_391x356,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig8_HTML.jpg,4x0_392x356,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig8_HTML.jpg,396x23_773x392,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig9_HTML.jpg,0x0_399x362,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig9_HTML.jpg,380x0_786x362,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig10_HTML.jpg,387x0_784x392,ct,4202020
PMC7003341,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7003341/bin/40779_2020_233_Fig10_HTML.jpg,3x0_398x392,ct,4202020
PMC7008073,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7008073/bin/jkms-35-e61-g001.jpg,263x10_511x243,ct,4202020
PMC7008073,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7008073/bin/jkms-35-e61-g001.jpg,6x8_255x245,cxr,4202020
PMC7008073,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7008073/bin/jkms-35-e61-g001.jpg,261x265_505x515,ct,4202020
PMC7008073,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7008073/bin/jkms-35-e61-g001.jpg,525x263_762x512,cxr,4202020
PMC7008073,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7008073/bin/jkms-35-e61-g001.jpg,524x7_767x253,ct,4202020
PMC7008073,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7008073/bin/jkms-35-e61-g001.jpg,8x262_243x512,ct,4202020
PMC7121202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121202/bin/NEJMc2001573_f1.jpg,4x824_648x1478,cxr,4202020
PMC7121202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121202/bin/NEJMc2001573_f1.jpg,8x23_639x764,cxr,4202020
PMC7039714,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7039714/bin/kjr-21-365-g001.jpg,7x308_392x623,ct,4202020
PMC7039714,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7039714/bin/kjr-21-365-g001.jpg,394x7_789x295,ct,4202020
PMC7039714,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7039714/bin/kjr-21-365-g001.jpg,4x10_397x289,ct,4202020
PMC7039714,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7039714/bin/kjr-21-365-g001.jpg,392x305_789x634,ct,4202020
PMC7039714,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7039714/bin/kjr-21-365-g002.jpg,353x6_710x274,ct,4202020
PMC7039714,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7039714/bin/kjr-21-365-g002.jpg,4x12_357x266,ct,4202020
PMC7025910,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7025910/bin/jkms-35-e79-g001.jpg,8x525_385x776,ct,4202020
PMC7025910,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7025910/bin/jkms-35-e79-g001.jpg,383x503_763x778,ct,4202020
PMC7025910,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7025910/bin/jkms-35-e79-g001.jpg,381x6_689x255,cxr,4202020
PMC7025910,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7025910/bin/jkms-35-e79-g001.jpg,73x14_394x245,cxr,4202020
PMC7025910,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7025910/bin/jkms-35-e79-g001.jpg,124x258_642x516,cxr,4202020
PMC7079932,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7079932/bin/259_2020_4720_Fig1_HTML.jpg,382x7_754x251,ct,4202020
PMC7079932,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7079932/bin/259_2020_4720_Fig1_HTML.jpg,2x8_375x248,ct,4202020
PMC7079932,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7079932/bin/259_2020_4720_Fig1_HTML.jpg,2x263_374x518,ct,4202020
PMC7079932,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7079932/bin/259_2020_4720_Fig1_HTML.jpg,381x263_750x520,ct,4202020
PMC7107315,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7107315/bin/hcaa038f1.jpg,9x9_373x315,ct,4202020
PMC7107315,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7107315/bin/hcaa038f1.jpg,383x11_754x316,ct,4202020
PMC7107315,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7107315/bin/hcaa038f1.jpg,385x326_748x642,ct,4202020
PMC7107315,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7107315/bin/hcaa038f1.jpg,6x327_374x638,ct,4202020
PMC7033263,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7033263/bin/40169_2020_271_Fig3_HTML.jpg,6x449_292x674,ct,4202020
PMC7033263,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7033263/bin/40169_2020_271_Fig3_HTML.jpg,295x448_592x676,ct,4202020
PMC7033263,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7033263/bin/40169_2020_271_Fig3_HTML.jpg,302x219_595x443,ct,4202020
PMC7129231,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129231/bin/gr1_lrg.jpg,326x0_665x406,cxr,4202020
PMC7129231,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129231/bin/gr1_lrg.jpg,0x24_347x409,cxr,4202020
PMC7129333,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129333/bin/gr1_lrg.jpg,9x5_343x230,ct,4202020
