pmcid,figure url,subfigure,label,insert_time
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f1.jpg,57x714_659x1446,cxr,4202020
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f1.jpg,59x47_656x704,cxr,4202020
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f2.jpg,382x15_731x283,nature,4202020
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f2.jpg,11x15_378x282,nature,4202020
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f3.jpg,359x20_749x472,nature,4202020
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f3.jpg,14x0_375x472,nature,4202020
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f4.jpg,0x336_703x907,nature,4202020
PMC7092803,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092803/bin/NEJMoa2001017_f4.jpg,3x18_777x339,nature,4202020
PMC7074660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7074660/bin/taaa011f1.jpg,295x0_611x472,nature,4202020
PMC7074660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7074660/bin/taaa011f1.jpg,0x0_292x411,nature,4202020
PMC7134625,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7134625/bin/fx1_lrg.jpg,,nature,4202020
PMC7067204,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067204/bin/TEMI_A_1719902_F0001_OC.jpg,,nature,4202020
PMC7067204,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067204/bin/TEMI_A_1719902_F0002_OB.jpg,,nature,4202020
PMC7067204,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067204/bin/TEMI_A_1719902_F0004_OC.jpg,,nature,4202020
PMC7067204,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067204/bin/TEMI_A_1719902_F0005_OC.jpg,0x1_676x281,nature,4202020
PMC7096019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7096019/bin/41591_2020_771_Figa_HTML.jpg,407x12_716x459,nature,4202020
PMC7096019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7096019/bin/41591_2020_771_Figa_HTML.jpg,21x0_381x477,nature,4202020
PMC7121428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121428/bin/NEJMc2001272_f1.jpg,0x23_350x352,cxr,4202020
PMC7121428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121428/bin/NEJMc2001272_f1.jpg,373x9_745x369,cxr,4202020
PMC7121428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121428/bin/NEJMc2001272_f1.jpg,379x370_735x752,cxr,4202020
PMC7121428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121428/bin/NEJMc2001272_f1.jpg,5x379_365x751,cxr,4202020
PMC7077245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7077245/bin/viruses-12-00135-g001.jpg,,nature,4202020
PMC6988269,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988269/bin/2000045-f1.jpg,,nature,4202020
PMC6988269,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988269/bin/2000045-f2.jpg,,nature,4202020
PMC6988269,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988269/bin/2000045-f3.jpg,14x23_308x292,nature,4202020
PMC6988269,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988269/bin/2000045-f3.jpg,296x296_609x614,nature,4202020
PMC6988269,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988269/bin/2000045-f3.jpg,4x310_292x606,nature,4202020
PMC6988269,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988269/bin/2000045-f3.jpg,324x22_626x294,nature,4202020
PMC6988272,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988272/bin/2000044-f1.jpg,0x17_288x332,nature,4202020
PMC6988272,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988272/bin/2000044-f1.jpg,375x0_652x314,nature,4202020
PMC6988272,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988272/bin/2000044-f1.jpg,52x50_652x342,nature,4202020
PMC6988272,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6988272/bin/2000044-f2.jpg,,nature,4202020
PMC7121484,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121484/bin/NEJMoa2001316_f1.jpg,,nature,4202020
PMC7121484,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121484/bin/NEJMoa2001316_f2.jpg,385x303_730x597,nature,4202020
PMC7121484,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121484/bin/NEJMoa2001316_f2.jpg,387x11_731x294,nature,4202020
PMC7121484,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121484/bin/NEJMoa2001316_f2.jpg,7x16_365x287,nature,4202020
PMC7121484,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121484/bin/NEJMoa2001316_f2.jpg,0x306_346x588,nature,4202020
PMC7121484,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121484/bin/NEJMoa2001316_f3.jpg,9x69_407x571,nature,4202020
PMC7121484,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7121484/bin/NEJMoa2001316_f3.jpg,467x210_777x557,nature,4202020
PMC7127306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7127306/bin/gr1_lrg.jpg,,nature,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f1.jpg,468x0_742x349,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f1.jpg,0x9_229x336,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f2.jpg,39x134_790x385,nature,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f3.jpg,464x0_741x337,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f4.jpg,380x0_720x591,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f4.jpg,24x19_359x569,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f5.jpg,468x0_741x346,cxr,4202020
PMC7092802,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7092802/bin/NEJMoa2001191_f5.jpg,0x0_231x346,cxr,4202020
PMC7033706,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7033706/bin/TEMI_A_1723441_F0001_OC.jpg,8x63_391x396,nature,4202020
PMC7033706,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7033706/bin/TEMI_A_1723441_F0001_OC.jpg,522x62_749x398,nature,4202020
PMC7128735,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128735/bin/gr1_lrg.jpg,36x14_735x403,nature,4202020
PMC7128735,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128735/bin/gr1_lrg.jpg,24x371_740x746,nature,4202020
PMC7128745,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128745/bin/gr1_lrg.jpg,538x32_786x459,nature,4202020
PMC7128745,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128745/bin/gr1_lrg.jpg,0x0_542x459,nature,4202020
PMC7137834,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7137834/bin/fx1_lrg.jpg,,nature,4202020
PMC7137834,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7137834/bin/fx2_lrg.jpg,,nature,4202020
PMC7137834,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7137834/bin/fx3_lrg.jpg,86x127_481x629,nature,4202020
PMC7126811,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7126811/bin/gr1_lrg.jpg,54x43_699x680,nature,4202020
PMC7126811,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7126811/bin/gr1_lrg.jpg,26x688_721x1144,nature,4202020
PMC7129460,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129460/bin/gr1_lrg.jpg,39x0_723x542,nature,4202020
PMC7129460,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129460/bin/gr1_lrg.jpg,0x948_265x1249,nature,4202020
PMC7129460,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129460/bin/gr1_lrg.jpg,281x984_526x1260,nature,4202020
PMC7129460,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129460/bin/gr1_lrg.jpg,18x466_739x955,nature,4202020
PMC7129460,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129460/bin/gr1_lrg.jpg,540x951_767x1242,nature,4202020
PMC7129799,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129799/bin/gr1_lrg.jpg,0x3_323x404,nature,4202020
PMC7129799,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7129799/bin/gr1_lrg.jpg,386x0_693x419,nature,4202020
PMC7110798,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7110798/bin/gr1_lrg.jpg,,nature,4202020
PMC7108176,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7108176/bin/ciaa112f0001.jpg,0x0_289x301,nature,4202020
PMC7108176,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7108176/bin/ciaa112f0001.jpg,337x13_643x326,nature,4202020
PMC7095418,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7095418/bin/41586_2020_2012_Fig1_HTML.jpg,383x0_684x418,nature,4202020
PMC7095418,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7095418/bin/41586_2020_2012_Fig2_HTML.jpg,1x254_347x522,nature,4202020
PMC7095418,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7095418/bin/41586_2020_2012_Fig2_HTML.jpg,0x18_607x244,nature,4202020
